FIPS,uninsured_rate_2013,uninsured_rate_2016,change
01001,0.17,0.08,-0.09
01003,0.17,0.08,-0.09
01005,0.24,0.15,-0.09
01007,0.2,0.1,-0.1
01009,0.19,0.1,-0.09
01011,0.28,0.17,-0.11
01013,0.24,0.14,-0.1
01015,0.21,0.11,-0.1
01017,0.25,0.13,-0.12
01019,0.22,0.1,-0.12
01021,0.22,0.13,-0.09
01023,0.26,0.15,-0.11
01025,0.24,0.13,-0.11
01027,0.22,0.13,-0.09
01029,0.22,0.12,-0.1
01031,0.2,0.15,-0.05
01033,0.2,0.1,-0.1
01035,0.29,0.15,-0.14
01037,0.22,0.11,-0.11
01039,0.22,0.13,-0.09
01041,0.23,0.17,-0.06
01043,0.19,0.13,-0.07
01045,0.21,0.12,-0.1
01047,0.28,0.17,-0.11
01049,0.23,0.13,-0.1
01051,0.17,0.09,-0.08
01053,0.25,0.17,-0.08
01055,0.21,0.12,-0.09
01057,0.21,0.12,-0.09
01059,0.22,0.13,-0.09
01061,0.22,0.15,-0.07
01063,0.28,0.13,-0.15
01065,0.26,0.14,-0.12
01067,0.21,0.11,-0.1
01069,0.19,0.17,-0.02
01071,0.21,0.11,-0.1
01073,0.19,0.11,-0.08
01075,0.21,0.12,-0.1
01077,0.19,0.09,-0.1
01079,0.21,0.15,-0.06
01081,0.2,0.08,-0.13
01083,0.16,0.08,-0.08
01085,0.29,0.14,-0.15
01087,0.3,0.15,-0.15
01089,0.17,0.08,-0.09
01091,0.24,0.12,-0.12
01093,0.21,0.12,-0.09
01095,0.21,0.15,-0.06
01097,0.22,0.12,-0.1
01099,0.25,0.15,-0.1
01101,0.21,0.11,-0.1
01103,0.19,0.1,-0.09
01105,0.31,0.15,-0.16
01107,0.24,0.16,-0.08
01109,0.26,0.2,-0.06
01111,0.23,0.13,-0.1
01113,0.25,0.18,-0.07
01115,0.17,0.08,-0.09
01117,0.11,0.04,-0.07
01119,0.3,0.16,-0.14
01121,0.23,0.11,-0.12
01123,0.22,0.13,-0.09
01125,0.19,0.1,-0.09
01127,0.21,0.11,-0.1
01129,0.24,0.15,-0.09
01131,0.31,0.17,-0.14
01133,0.22,0.12,-0.1
02013,0.27,0.33,0.06
02016,0.24,0.22,-0.02
02020,0.14,0.07,-0.07
02050,0.2,0.3,0.1
02060,0.22,0.15,-0.07
02068,0.14,0.1,-0.04
02070,0.2,0.24,0.04
02090,0.16,0.07,-0.09
02100,0.2,0.13,-0.07
02105,0.27,0.18,-0.09
02110,0.13,0.06,-0.07
02122,0.2,0.11,-0.09
02130,0.16,0.13,-0.04
02150,0.22,0.13,-0.09
02164,0.23,0.33,0.1
02170,0.17,0.1,-0.08
02180,0.19,0.29,0.1
02185,0.18,0.25,0.07
02188,0.17,0.34,0.17
02195,0.22,0.13,-0.09
02198,0.23,0.21,-0.02
02220,0.16,0.12,-0.04
02230,0.24,0.13,-0.11
02240,0.18,0.14,-0.04
02261,0.17,0.12,-0.05
02270,0.19,0.4,0.21
02275,0.19,0.15,-0.04
02282,0.2,0.15,-0.05
02290,0.21,0.31,0.1
04001,0.26,0.34,0.08
04003,0.18,0.12,-0.06
04005,0.17,0.19,0.02
04007,0.18,0.16,-0.02
04009,0.2,0.16,-0.04
04011,0.21,0.1,-0.11
04012,0.21,0.24,0.03
04013,0.15,0.1,-0.05
04015,0.2,0.15,-0.05
04017,0.21,0.25,0.04
04019,0.17,0.11,-0.06
04021,0.18,0.1,-0.08
04023,0.26,0.21,-0.05
04025,0.17,0.12,-0.05
04027,0.22,0.19,-0.03
05001,0.22,0.1,-0.12
05003,0.23,0.11,-0.12
05005,0.22,0.1,-0.12
05007,0.16,0.07,-0.09
05009,0.2,0.12,-0.08
05011,0.27,0.13,-0.15
05013,0.2,0.09,-0.11
05015,0.24,0.11,-0.13
05017,0.29,0.13,-0.17
05019,0.25,0.09,-0.16
05021,0.25,0.09,-0.16
05023,0.23,0.09,-0.14
05025,0.21,0.08,-0.14
05027,0.23,0.1,-0.13
05029,0.22,0.08,-0.14
05031,0.22,0.09,-0.13
05033,0.21,0.09,-0.12
05035,0.24,0.11,-0.13
05037,0.24,0.09,-0.15
05039,0.25,0.11,-0.14
05041,0.28,0.13,-0.15
05043,0.25,0.09,-0.16
05045,0.18,0.07,-0.11
05047,0.23,0.08,-0.15
05049,0.25,0.1,-0.15
05051,0.23,0.1,-0.13
05053,0.18,0.06,-0.12
05055,0.21,0.1,-0.11
05057,0.26,0.13,-0.13
05059,0.24,0.08,-0.16
05061,0.25,0.12,-0.13
05063,0.22,0.09,-0.13
05065,0.23,0.08,-0.15
05067,0.26,0.12,-0.15
05069,0.24,0.11,-0.13
05071,0.22,0.1,-0.12
05073,0.27,0.11,-0.16
05075,0.23,0.11,-0.12
05077,0.31,0.14,-0.17
05079,0.22,0.11,-0.11
05081,0.21,0.08,-0.13
05083,0.24,0.13,-0.11
05085,0.16,0.07,-0.09
05087,0.22,0.1,-0.12
05089,0.23,0.1,-0.13
05091,0.23,0.12,-0.11
05093,0.25,0.12,-0.13
05095,0.26,0.13,-0.13
05097,0.22,0.1,-0.12
05099,0.27,0.1,-0.17
05101,0.2,0.09,-0.11
05103,0.25,0.13,-0.12
05105,0.19,0.09,-0.11
05107,0.3,0.14,-0.16
05109,0.24,0.13,-0.12
05111,0.27,0.12,-0.16
05113,0.25,0.12,-0.13
05115,0.21,0.08,-0.13
05117,0.21,0.08,-0.13
05119,0.19,0.07,-0.12
05121,0.24,0.09,-0.15
05123,0.26,0.13,-0.13
05125,0.15,0.05,-0.1
05127,0.26,0.11,-0.15
05129,0.22,0.11,-0.11
05131,0.21,0.09,-0.12
05133,0.26,0.17,-0.09
05135,0.24,0.1,-0.14
