FIPS,year,bachelorsOrMore,someCollege,lessThanHSD,HSDonly
01001,1970.0,0.064,0.077,0.548,0.311
01001,1980.0,0.121,0.121,0.406,0.352
01001,1990.0,0.145,0.235,0.3,0.32
01001,2e3,0.18,0.269,0.213,0.338
01001,2010.0,0.219,0.307,0.138,0.335
01003,1970.0,0.065,0.074,0.594,0.267
01003,1980.0,0.121,0.145,0.397,0.337
01003,1990.0,0.168,0.246,0.268,0.318
01003,2e3,0.231,0.293,0.18,0.296
01003,2010.0,0.286,0.316,0.11,0.288
01005,1970.0,0.073,0.049,0.688,0.19
01005,1980.0,0.092,0.097,0.551,0.261
01005,1990.0,0.118,0.167,0.444,0.271
01005,2e3,0.109,0.213,0.353,0.324
01005,2010.0,0.136,0.275,0.254,0.334
01007,1970.0,0.042,0.033,0.731,0.194
01007,1980.0,0.049,0.061,0.595,0.296
01007,1990.0,0.047,0.132,0.482,0.338
01007,2e3,0.071,0.204,0.368,0.357
01007,2010.0,0.102,0.276,0.221,0.401
01009,1970.0,0.027,0.041,0.705,0.227
01009,1980.0,0.053,0.084,0.539,0.324
01009,1990.0,0.07,0.188,0.395,0.347
01009,2e3,0.096,0.248,0.296,0.36
01009,2010.0,0.123,0.313,0.219,0.345
01011,1970.0,0.054,0.052,0.729,0.165
01011,1980.0,0.088,0.098,0.59,0.225
01011,1990.0,0.1,0.142,0.51,0.248
01011,2e3,0.077,0.175,0.395,0.352
01011,2010.0,0.141,0.191,0.345,0.323
01013,1970.0,0.046,0.042,0.705,0.207
01013,1980.0,0.082,0.081,0.55,0.288
01013,1990.0,0.08,0.156,0.472,0.291
01013,2e3,0.104,0.229,0.322,0.345
01013,2010.0,0.143,0.251,0.234,0.371
01015,1970.0,0.075,0.073,0.586,0.265
01015,1980.0,0.11,0.129,0.433,0.328
01015,1990.0,0.142,0.232,0.326,0.3
01015,2e3,0.152,0.264,0.261,0.322
01015,2010.0,0.169,0.308,0.199,0.324
01017,1970.0,0.042,0.046,0.674,0.238
01017,1980.0,0.074,0.097,0.546,0.283
01017,1990.0,0.089,0.169,0.457,0.285
01017,2e3,0.095,0.225,0.358,0.321
01017,2010.0,0.122,0.28,0.225,0.373
01019,1970.0,0.038,0.05,0.698,0.214
01019,1980.0,0.063,0.088,0.568,0.281
01019,1990.0,0.067,0.152,0.465,0.316
01019,2e3,0.097,0.189,0.365,0.349
01019,2010.0,0.137,0.299,0.205,0.359
01021,1970.0,0.03,0.038,0.732,0.2
01021,1980.0,0.065,0.085,0.54,0.311
01021,1990.0,0.075,0.165,0.434,0.326
01021,2e3,0.099,0.205,0.338,0.358
01021,2010.0,0.135,0.24,0.225,0.4
01023,1970.0,0.043,0.045,0.682,0.229
01023,1980.0,0.07,0.084,0.553,0.293
01023,1990.0,0.085,0.145,0.457,0.313
01023,2e3,0.096,0.206,0.35,0.347
01023,2010.0,0.128,0.261,0.259,0.352
01025,1970.0,0.055,0.059,0.627,0.258
01025,1980.0,0.089,0.1,0.506,0.305
01025,1990.0,0.108,0.161,0.397,0.334
01025,2e3,0.121,0.211,0.292,0.377
01025,2010.0,0.119,0.242,0.199,0.439
01027,1970.0,0.043,0.048,0.668,0.24
01027,1980.0,0.059,0.086,0.534,0.321
01027,1990.0,0.073,0.155,0.462,0.311
01027,2e3,0.078,0.204,0.34,0.378
01027,2010.0,0.086,0.3,0.251,0.362
01029,1970.0,0.027,0.045,0.731,0.198
01029,1980.0,0.058,0.052,0.617,0.274
01029,1990.0,0.065,0.137,0.502,0.296
01029,2e3,0.092,0.178,0.371,0.358
01029,2010.0,0.106,0.261,0.247,0.386
01031,1970.0,0.058,0.074,0.599,0.27
01031,1980.0,0.122,0.149,0.434,0.295
01031,1990.0,0.165,0.245,0.328,0.263
01031,2e3,0.193,0.276,0.268,0.262
01031,2010.0,0.232,0.301,0.169,0.298
01033,1970.0,0.058,0.08,0.563,0.299
01033,1980.0,0.094,0.117,0.442,0.348
01033,1990.0,0.115,0.213,0.348,0.324
01033,2e3,0.141,0.253,0.267,0.339
01033,2010.0,0.176,0.322,0.164,0.338
01035,1970.0,0.041,0.04,0.712,0.207
01035,1980.0,0.062,0.079,0.575,0.284
01035,1990.0,0.064,0.136,0.473,0.327
01035,2e3,0.092,0.203,0.323,0.381
01035,2010.0,0.083,0.248,0.24,0.428
01037,1970.0,0.034,0.047,0.698,0.221
01037,1980.0,0.036,0.08,0.569,0.316
01037,1990.0,0.063,0.141,0.461,0.334
01037,2e3,0.08,0.193,0.343,0.383
01037,2010.0,0.091,0.273,0.241,0.395
01039,1970.0,0.047,0.051,0.683,0.22
01039,1980.0,0.071,0.092,0.557,0.279
01039,1990.0,0.091,0.193,0.427,0.289
01039,2e3,0.122,0.232,0.316,0.33
01039,2010.0,0.146,0.313,0.2,0.341
01041,1970.0,0.039,0.051,0.739,0.171
01041,1980.0,0.068,0.065,0.624,0.243
01041,1990.0,0.084,0.151,0.487,0.278
01041,2e3,0.112,0.199,0.399,0.29
01041,2010.0,0.125,0.258,0.231,0.386
01043,1970.0,0.039,0.049,0.697,0.216
01043,1980.0,0.073,0.085,0.534,0.309
01043,1990.0,0.078,0.202,0.412,0.308
01043,2e3,0.119,0.265,0.296,0.32
01043,2010.0,0.151,0.332,0.185,0.332
01045,1970.0,0.09,0.119,0.446,0.345
01045,1980.0,0.116,0.188,0.351,0.345
01045,1990.0,0.135,0.327,0.258,0.28
01045,2e3,0.14,0.346,0.222,0.292
01045,2010.0,0.169,0.368,0.153,0.311
01047,1970.0,0.088,0.084,0.586,0.241
01047,1980.0,0.113,0.124,0.465,0.298
01047,1990.0,0.122,0.192,0.404,0.282
01047,2e3,0.139,0.229,0.297,0.336
01047,2010.0,0.145,0.278,0.223,0.354
01049,1970.0,0.037,0.036,0.725,0.202
01049,1980.0,0.057,0.09,0.573,0.28
01049,1990.0,0.071,0.156,0.47,0.304
01049,2e3,0.083,0.215,0.362,0.34
01049,2010.0,0.113,0.27,0.269,0.349
01051,1970.0,0.054,0.06,0.62,0.266
01051,1980.0,0.103,0.109,0.423,0.366
01051,1990.0,0.128,0.213,0.335,0.324
01051,2e3,0.166,0.272,0.224,0.338
01051,2010.0,0.214,0.306,0.128,0.352
01053,1970.0,0.048,0.045,0.654,0.253
01053,1980.0,0.072,0.107,0.492,0.328
01053,1990.0,0.076,0.175,0.401,0.348
01053,2e3,0.106,0.232,0.315,0.347
01053,2010.0,0.125,0.257,0.214,0.403
01055,1970.0,0.052,0.074,0.592,0.281
01055,1980.0,0.089,0.13,0.451,0.33
01055,1990.0,0.102,0.231,0.359,0.307
01055,2e3,0.134,0.284,0.259,0.323
01055,2010.0,0.154,0.343,0.179,0.323
01057,1970.0,0.038,0.047,0.698,0.218
01057,1980.0,0.073,0.067,0.564,0.296
01057,1990.0,0.085,0.164,0.434,0.317
01057,2e3,0.092,0.219,0.339,0.35
01057,2010.0,0.138,0.242,0.239,0.381
01059,1970.0,0.034,0.041,0.674,0.251
01059,1980.0,0.06,0.096,0.549,0.295
01059,1990.0,0.069,0.173,0.449,0.308
01059,2e3,0.097,0.219,0.379,0.305
01059,2010.0,0.109,0.271,0.256,0.364
01061,1970.0,0.045,0.039,0.681,0.235
01061,1980.0,0.059,0.09,0.54,0.311
01061,1990.0,0.068,0.168,0.446,0.318
01061,2e3,0.087,0.25,0.344,0.32
01061,2010.0,0.112,0.283,0.219,0.385
01063,1970.0,0.065,0.062,0.732,0.142
01063,1980.0,0.096,0.082,0.601,0.221
01063,1990.0,0.104,0.142,0.462,0.292
01063,2e3,0.105,0.194,0.352,0.349
01063,2010.0,0.115,0.269,0.249,0.367
01065,1970.0,0.05,0.039,0.742,0.169
01065,1980.0,0.067,0.077,0.618,0.238
01065,1990.0,0.089,0.145,0.456,0.31
01065,2e3,0.081,0.212,0.348,0.359
01065,2010.0,0.14,0.247,0.206,0.408
01067,1970.0,0.048,0.049,0.702,0.201
01067,1980.0,0.086,0.089,0.56,0.264
01067,1990.0,0.082,0.214,0.415,0.289
01067,2e3,0.141,0.235,0.333,0.291
01067,2010.0,0.168,0.27,0.205,0.358
01069,1970.0,0.07,0.072,0.573,0.285
01069,1980.0,0.127,0.129,0.417,0.327
01069,1990.0,0.15,0.239,0.317,0.294
01069,2e3,0.184,0.277,0.235,0.304
01069,2010.0,0.201,0.303,0.157,0.339
01071,1970.0,0.034,0.041,0.715,0.21
01071,1980.0,0.068,0.105,0.522,0.306
01071,1990.0,0.08,0.181,0.419,0.32
01071,2e3,0.104,0.217,0.33,0.349
01071,2010.0,0.129,0.25,0.247,0.374
01073,1970.0,0.095,0.091,0.527,0.287
01073,1980.0,0.158,0.158,0.353,0.331
01073,1990.0,0.199,0.257,0.262,0.283
01073,2e3,0.246,0.284,0.191,0.279
01073,2010.0,0.303,0.308,0.123,0.266
01075,1970.0,0.034,0.042,0.739,0.184
01075,1980.0,0.059,0.065,0.57,0.305
01075,1990.0,0.062,0.13,0.471,0.338
01075,2e3,0.078,0.198,0.349,0.375
01075,2010.0,0.114,0.283,0.221,0.382
01077,1970.0,0.083,0.08,0.56,0.277
01077,1980.0,0.13,0.11,0.424,0.336
01077,1990.0,0.164,0.192,0.321,0.322
01077,2e3,0.185,0.238,0.236,0.341
01077,2010.0,0.221,0.283,0.16,0.336
01079,1970.0,0.024,0.035,0.713,0.228
01079,1980.0,0.04,0.066,0.571,0.324
01079,1990.0,0.062,0.12,0.444,0.374
01079,2e3,0.075,0.187,0.344,0.394
01079,2010.0,0.113,0.274,0.219,0.394
01081,1970.0,0.166,0.095,0.515,0.225
01081,1980.0,0.216,0.131,0.379,0.274
01081,1990.0,0.253,0.222,0.268,0.258
01081,2e3,0.279,0.268,0.186,0.267
01081,2010.0,0.332,0.283,0.125,0.26
01083,1970.0,0.062,0.067,0.624,0.247
01083,1980.0,0.087,0.102,0.493,0.318
01083,1990.0,0.138,0.189,0.369,0.305
01083,2e3,0.169,0.251,0.255,0.325
01083,2010.0,0.231,0.282,0.174,0.313
01085,1970.0,0.05,0.049,0.736,0.166
01085,1980.0,0.068,0.084,0.575,0.273
01085,1990.0,0.082,0.169,0.433,0.317
01085,2e3,0.11,0.199,0.357,0.334
01085,2010.0,0.132,0.256,0.273,0.339
01087,1970.0,0.147,0.085,0.61,0.157
01087,1980.0,0.181,0.134,0.457,0.227
01087,1990.0,0.18,0.207,0.381,0.232
01087,2e3,0.188,0.263,0.3,0.25
01087,2010.0,0.194,0.316,0.187,0.303
01089,1970.0,0.188,0.136,0.37,0.307
01089,1980.0,0.214,0.172,0.299,0.315
01089,1990.0,0.301,0.271,0.198,0.231
01089,2e3,0.343,0.292,0.146,0.219
01089,2010.0,0.386,0.303,0.099,0.212
01091,1970.0,0.064,0.064,0.656,0.216
01091,1980.0,0.088,0.086,0.518,0.308
01091,1990.0,0.115,0.155,0.386,0.344
01091,2e3,0.121,0.225,0.281,0.374
01091,2010.0,0.16,0.268,0.157,0.416
01093,1970.0,0.035,0.033,0.716,0.215
01093,1980.0,0.061,0.072,0.577,0.29
01093,1990.0,0.067,0.147,0.5,0.287
01093,2e3,0.08,0.223,0.368,0.329
01093,2010.0,0.111,0.297,0.251,0.341
01095,1970.0,0.052,0.06,0.659,0.229
01095,1980.0,0.086,0.109,0.499,0.306
01095,1990.0,0.115,0.208,0.385,0.292
01095,2e3,0.139,0.25,0.306,0.305
01095,2010.0,0.161,0.285,0.229,0.325
01097,1970.0,0.075,0.079,0.574,0.272
01097,1980.0,0.124,0.145,0.383,0.348
01097,1990.0,0.155,0.223,0.299,0.323
01097,2e3,0.186,0.262,0.233,0.319
01097,2010.0,0.214,0.306,0.151,0.328
01099,1970.0,0.057,0.051,0.673,0.218
01099,1980.0,0.087,0.09,0.494,0.33
01099,1990.0,0.108,0.17,0.408,0.315
01099,2e3,0.118,0.217,0.321,0.344
01099,2010.0,0.125,0.252,0.214,0.409
01101,1970.0,0.127,0.115,0.457,0.302
01101,1980.0,0.2,0.156,0.332,0.312
01101,1990.0,0.242,0.255,0.247,0.256
01101,2e3,0.285,0.274,0.197,0.243
01101,2010.0,0.313,0.274,0.15,0.263
01103,1970.0,0.084,0.083,0.54,0.293
01103,1980.0,0.118,0.131,0.401,0.35
01103,1990.0,0.155,0.241,0.306,0.298
01103,2e3,0.184,0.276,0.237,0.303
01103,2010.0,0.199,0.301,0.181,0.319
01105,1970.0,0.071,0.049,0.712,0.168
01105,1980.0,0.097,0.078,0.569,0.257
01105,1990.0,0.115,0.124,0.49,0.271
01105,2e3,0.1,0.22,0.376,0.304
01105,2010.0,0.091,0.218,0.304,0.387
01107,1970.0,0.046,0.048,0.684,0.222
01107,1980.0,0.07,0.07,0.562,0.299
01107,1990.0,0.066,0.151,0.438,0.344
01107,2e3,0.098,0.221,0.303,0.378
01107,2010.0,0.096,0.264,0.214,0.426
01109,1970.0,0.071,0.072,0.626,0.231
01109,1980.0,0.113,0.095,0.526,0.266
01109,1990.0,0.143,0.167,0.41,0.28
01109,2e3,0.184,0.206,0.309,0.3
01109,2010.0,0.236,0.227,0.2,0.337
01111,1970.0,0.037,0.033,0.717,0.212
01111,1980.0,0.072,0.07,0.588,0.269
01111,1990.0,0.077,0.139,0.497,0.287
01111,2e3,0.1,0.199,0.381,0.32
01111,2010.0,0.124,0.239,0.255,0.381
01113,1970.0,0.03,0.035,0.729,0.206
01113,1980.0,0.057,0.085,0.572,0.286
01113,1990.0,0.082,0.18,0.43,0.308
01113,2e3,0.097,0.238,0.335,0.33
01113,2010.0,0.155,0.333,0.187,0.325
01115,1970.0,0.031,0.044,0.688,0.236
01115,1980.0,0.064,0.099,0.501,0.336
01115,1990.0,0.085,0.196,0.39,0.329
01115,2e3,0.111,0.256,0.287,0.346
01115,2010.0,0.155,0.314,0.176,0.356
01117,1970.0,0.058,0.058,0.639,0.245
01117,1980.0,0.178,0.141,0.364,0.317
01117,1990.0,0.29,0.235,0.218,0.256
01117,2e3,0.368,0.271,0.132,0.23
01117,2010.0,0.402,0.297,0.087,0.214
01119,1970.0,0.074,0.076,0.675,0.174
01119,1980.0,0.099,0.095,0.535,0.271
01119,1990.0,0.111,0.151,0.476,0.262
01119,2e3,0.124,0.212,0.352,0.311
01119,2010.0,0.15,0.219,0.229,0.402
01121,1970.0,0.051,0.057,0.643,0.249
01121,1980.0,0.078,0.099,0.509,0.315
01121,1990.0,0.102,0.186,0.393,0.319
01121,2e3,0.112,0.24,0.303,0.344
01121,2010.0,0.125,0.294,0.204,0.378
01123,1970.0,0.044,0.051,0.669,0.235
01123,1980.0,0.083,0.1,0.517,0.3
01123,1990.0,0.115,0.177,0.422,0.286
01123,2e3,0.141,0.23,0.299,0.329
01123,2010.0,0.176,0.272,0.197,0.355
01125,1970.0,0.109,0.086,0.552,0.252
01125,1980.0,0.166,0.123,0.399,0.312
01125,1990.0,0.2,0.218,0.304,0.278
01125,2e3,0.24,0.264,0.212,0.284
01125,2010.0,0.277,0.284,0.13,0.309
01127,1970.0,0.04,0.053,0.697,0.21
01127,1980.0,0.064,0.078,0.544,0.315
01127,1990.0,0.072,0.169,0.44,0.32
01127,2e3,0.091,0.233,0.328,0.347
01127,2010.0,0.107,0.311,0.229,0.352
01129,1970.0,0.036,0.03,0.705,0.229
01129,1980.0,0.055,0.072,0.535,0.338
01129,1990.0,0.067,0.144,0.418,0.371
01129,2e3,0.086,0.201,0.277,0.436
01129,2010.0,0.103,0.233,0.18,0.485
01131,1970.0,0.063,0.046,0.696,0.195
01131,1980.0,0.095,0.077,0.584,0.245
01131,1990.0,0.103,0.142,0.489,0.265
01131,2e3,0.101,0.192,0.405,0.303
01131,2010.0,0.115,0.25,0.214,0.421
01133,1970.0,0.033,0.047,0.691,0.229
01133,1980.0,0.052,0.08,0.571,0.296
01133,1990.0,0.054,0.143,0.512,0.29
01133,2e3,0.083,0.201,0.374,0.343
01133,2010.0,0.111,0.294,0.262,0.333
02000,1970.0,0.141,0.149,0.333,0.377
02000,1980.0,0.211,0.226,0.175,0.389
02000,1990.0,0.23,0.349,0.134,0.287
02000,2e3,0.247,0.357,0.117,0.279
02000,2010.0,0.277,0.366,0.082,0.275
02010,1970.0,0.125,0.122,0.397,0.357
02010,1980.0,0.153,0.205,0.229,0.412
02013,1990.0,0.129,0.221,0.336,0.314
02013,2e3,0.049,0.209,0.253,0.49
02013,2010.0,0.126,0.265,0.205,0.404
02016,1990.0,0.148,0.387,0.142,0.323
02016,2e3,0.11,0.331,0.215,0.344
02016,2010.0,0.154,0.334,0.145,0.367
02020,1970.0,0.159,0.174,0.241,0.427
02020,1980.0,0.236,0.251,0.117,0.396
02020,1990.0,0.269,0.383,0.096,0.252
02020,2e3,0.289,0.372,0.097,0.242
02020,2010.0,0.329,0.362,0.075,0.233
02050,1970.0,0.079,0.033,0.806,0.082
02050,1980.0,0.137,0.101,0.541,0.22
02050,1990.0,0.131,0.176,0.377,0.317
02050,2e3,0.131,0.193,0.29,0.386
02050,2010.0,0.114,0.272,0.198,0.417
02060,1970.0,0.131,0.142,0.292,0.435
02060,1980.0,0.165,0.22,0.181,0.434
02060,1990.0,0.189,0.452,0.102,0.256
02060,2e3,0.211,0.338,0.111,0.34
02060,2010.0,0.202,0.424,0.088,0.286
02068,2e3,0.227,0.386,0.083,0.304
02068,2010.0,0.295,0.353,0.091,0.261
02070,1970.0,0.087,0.078,0.695,0.14
02070,1980.0,0.162,0.113,0.436,0.289
02070,1990.0,0.153,0.226,0.302,0.318
02070,2e3,0.164,0.263,0.234,0.339
02070,2010.0,0.166,0.32,0.156,0.358
02090,1970.0,0.167,0.164,0.25,0.419
02090,1980.0,0.22,0.231,0.134,0.416
02090,1990.0,0.252,0.363,0.102,0.283
02090,2e3,0.27,0.393,0.082,0.255
02090,2010.0,0.305,0.386,0.066,0.242
02100,1970.0,0.134,0.099,0.531,0.236
02100,1980.0,0.198,0.191,0.221,0.391
02100,1990.0,0.176,0.339,0.215,0.271
02100,2e3,0.238,0.34,0.111,0.311
