FIPS,county_name,STATEABB,COUNTY,vote_difference,victor
01003,Baldwin,AL,3,0.5721,Trump
01005,Barbour,AL,5,0.05600000000000005,Trump
01007,Bibb,AL,7,0.5513,Trump
01009,Blount,AL,9,0.8092000000000001,Trump
01011,Bullock,AL,11,-0.5076999999999999,Clinton
01013,Butler,AL,13,0.13490000000000002,Trump
01015,Calhoun,AL,15,0.4105,Trump
01017,Chambers,AL,17,0.1474000000000001,Trump
01019,Cherokee,AL,19,0.6899,Trump
01021,Chilton,AL,21,0.6626,Trump
01023,Choctaw,AL,23,0.13619999999999993,Trump
01025,Clarke,AL,25,0.10770000000000002,Trump
01027,Clay,AL,27,0.6050000000000001,Trump
01029,Cleburne,AL,29,0.7696,Trump
01031,Coffee,AL,31,0.5623,Trump
01033,Colbert,AL,33,0.379,Trump
01035,Conecuh,AL,35,0.05239999999999995,Trump
01037,Coosa,AL,37,0.30430000000000007,Trump
01039,Covington,AL,39,0.6825999999999999,Trump
01041,Crenshaw,AL,41,0.45480000000000004,Trump
01043,Cullman,AL,43,0.7726,Trump
01045,Dale,AL,45,0.5012999999999999,Trump
01047,Dallas,AL,47,-0.37510000000000004,Clinton
01049,DeKalb,AL,49,0.6887,Trump
01051,Elmore,AL,51,0.5152000000000001,Trump
01053,Escambia,AL,53,0.36510000000000004,Trump
01055,Etowah,AL,55,0.49680000000000013,Trump
01057,Fayette,AL,57,0.6491,Trump
01059,Franklin,AL,59,0.6037,Trump
01061,Geneva,AL,61,0.7203,Trump
01063,Greene,AL,63,-0.6500999999999999,Clinton
01065,Hale,AL,65,-0.1991,Clinton
01067,Henry,AL,67,0.41420000000000007,Trump
01069,Houston,AL,69,0.4727,Trump
01071,Jackson,AL,71,0.6199000000000001,Trump
01073,Jefferson,AL,73,-0.07209999999999994,Clinton
01075,Lamar,AL,75,0.6872,Trump
01077,Lauderdale,AL,77,0.45470000000000005,Trump
01079,Lawrence,AL,79,0.48400000000000004,Trump
01081,Lee,AL,81,0.22749999999999998,Trump
01083,Limestone,AL,83,0.48829999999999996,Trump
01085,Lowndes,AL,85,-0.4684999999999999,Clinton
01087,Macon,AL,87,-0.6659999999999999,Clinton
01089,Madison,AL,89,0.16459999999999997,Trump
01091,Marengo,AL,91,-0.03489999999999999,Clinton
01093,Marion,AL,93,0.758,Trump
01095,Marshall,AL,95,0.6886,Trump
01097,Mobile,AL,97,0.13610000000000005,Trump
01099,Monroe,AL,99,0.14300000000000002,Trump
01101,Montgomery,AL,101,-0.2589,Clinton
01103,Morgan,AL,103,0.5182,Trump
01105,Perry,AL,105,-0.4589,Clinton
01107,Pickens,AL,107,0.1553,Trump
01109,Pike,AL,109,0.2011,Trump
01111,Randolph,AL,111,0.5312000000000001,Trump
01113,Russell,AL,113,-0.01909999999999995,Clinton
01115,St. Clair,AL,115,0.6799,Trump
01117,Shelby,AL,117,0.4941,Trump
01119,Sumter,AL,119,-0.4931,Clinton
01121,Talladega,AL,121,0.25439999999999996,Trump
01123,Tallapoosa,AL,123,0.4147,Trump
01125,Tuscaloosa,AL,125,0.19300000000000012,Trump
01127,Walker,AL,127,0.6707000000000001,Trump
01129,Washington,AL,129,0.43050000000000005,Trump
01131,Wilcox,AL,131,-0.4243,Clinton
01133,Winston,AL,133,0.8105,Trump
04001,Apache,AZ,1,-0.32109999999999994,Clinton
04003,Cochise,AZ,3,0.21749999999999997,Trump
04005,Coconino,AZ,5,-0.18960000000000005,Clinton
04007,Gila,AZ,7,0.32330000000000003,Trump
04009,Graham,AZ,9,0.39570000000000005,Trump
04011,Greenlee,AZ,11,0.24670000000000003,Trump
04012,La Paz,AZ,12,0.41420000000000007,Trump
04013,Maricopa,AZ,13,0.02849999999999997,Trump
04015,Mohave,AZ,15,0.5161,Trump
04017,Navajo,AZ,17,0.10270000000000001,Trump
04019,Pima,AZ,19,-0.13830000000000003,Clinton
04021,Pinal,AZ,21,0.196,Trump
04023,Santa Cruz,AZ,23,-0.47460000000000013,Clinton
04025,Yavapai,AZ,25,0.3132,Trump
04027,Yuma,AZ,27,0.010699999999999987,Trump
05001,Arkansas,AR,1,0.3038,Trump
05003,Ashley,AR,3,0.3625000000000001,Trump
05005,Baxter,AR,5,0.5319,Trump
05007,Benton,AR,7,0.3394999999999999,Trump
05009,Boone,AR,9,0.5778,Trump
05011,Bradley,AR,11,0.23190000000000005,Trump
05013,Calhoun,AR,13,0.40419999999999995,Trump
05015,Carroll,AR,15,0.32010000000000005,Trump
05017,Chicot,AR,17,-0.15179999999999993,Clinton
05019,Clark,AR,19,0.09189999999999993,Trump
05021,Clay,AR,21,0.49649999999999994,Trump
05023,Cleburne,AR,23,0.6087,Trump
05025,Cleveland,AR,25,0.5184000000000001,Trump
05027,Columbia,AR,27,0.2606,Trump
05029,Conway,AR,29,0.27660000000000007,Trump
05031,Craighead,AR,31,0.34729999999999994,Trump
05033,Crawford,AR,33,0.5434,Trump
05035,Crittenden,AR,35,-0.09060000000000001,Clinton
05037,Cross,AR,37,0.37609999999999993,Trump
05039,Dallas,AR,39,0.12419999999999998,Trump
05041,Desha,AR,41,-0.07260000000000011,Clinton
05043,Drew,AR,43,0.24310000000000004,Trump
05045,Faulkner,AR,45,0.30970000000000003,Trump
05047,Franklin,AR,47,0.5411000000000001,Trump
05049,Fulton,AR,49,0.5037999999999999,Trump
05051,Garland,AR,51,0.33759999999999996,Trump
05053,Grant,AR,53,0.5846,Trump
05055,Greene,AR,55,0.5238999999999999,Trump
05057,Hempstead,AR,57,0.28709999999999997,Trump
05059,Hot Spring,AR,59,0.42060000000000003,Trump
05061,Howard,AR,61,0.38640000000000013,Trump
05063,Independence,AR,63,0.5182,Trump
05065,Izard,AR,65,0.5376,Trump
05067,Jackson,AR,67,0.32659999999999995,Trump
05069,Jefferson,AR,69,-0.2519,Clinton
