FIPS,Unemployment_rate_2015,Median_Household_Income_2014
01001,0.052000000000000005,54366.0
01003,0.055,49626.0
01005,0.08900000000000001,34971.0
01007,0.066,39546.0
01009,0.054000000000000006,45567.0
01011,0.078,26580.0
01013,0.075,32512.0
01015,0.07,41123.0
01017,0.06,34116.0
01019,0.054000000000000006,38013.0
01021,0.057,41450.0
01023,0.091,35049.0
01025,0.11800000000000001,36620.0
01027,0.062,35940.0
01029,0.06,40418.0
01031,0.059000000000000004,46931.0
01033,0.079,43057.0
01035,0.092,29101.0
01037,0.067,34679.0
01039,0.071,36149.0
01041,0.06,34445.0
01043,0.053,39922.0
01045,0.064,41940.0
01047,0.096,26602.0
01049,0.06,36241.0
01051,0.051,54298.0
01053,0.07,37077.0
01055,0.061,39904.0
01057,0.07,35664.0
01059,0.064,33881.0
01061,0.059000000000000004,34425.0
01063,0.11,26504.0
01065,0.078,33315.0
01067,0.068,39930.0
01069,0.062,40124.0
01071,0.066,36923.0
01073,0.057999999999999996,44852.0
01075,0.063,34553.0
01077,0.069,41324.0
01079,0.077,41574.0
01081,0.051,41256.0
01083,0.055,51175.0
01085,0.11599999999999999,30675.0
01087,0.081,28518.0
01089,0.055,58833.0
01091,0.077,32977.0
01093,0.07,37707.0
01095,0.057999999999999996,36536.0
01097,0.07,42943.0
01099,0.10099999999999999,34733.0
01101,0.062,43054.0
01103,0.057999999999999996,45082.0
01105,0.1,27403.0
01107,0.068,31933.0
01109,0.067,31844.0
01111,0.059000000000000004,36939.0
01113,0.06,35585.0
01115,0.052000000000000005,50571.0
01117,0.042,69432.0
01119,0.08,25413.0
01121,0.066,39999.0
01123,0.061,36779.0
01125,0.055,46892.0
01127,0.07200000000000001,37245.0
01129,0.08900000000000001,41321.0
01131,0.147,24035.0
01133,0.076,35528.0
02013,0.032,55462.0
02016,0.038,68387.0
02068,0.087,69692.0
02105,0.15,51687.0
02122,0.078,62532.0
02158,0.23199999999999998,30877.0
02164,0.127,45570.0
02185,0.055999999999999994,75682.0
02188,0.155,65192.0
02195,0.08900000000000001,56655.0
02198,0.125,43245.0
02201,NA,NA
02232,NA,NA
02261,0.08800000000000001,73998.0
02275,0.078,52201.0
02282,0.083,52595.0
04001,0.134,32366.0
04003,0.07400000000000001,45025.0
04005,0.066,48653.0
04007,0.08,37677.0
04009,0.07400000000000001,46046.0
04011,0.079,59416.0
04012,0.076,32533.0
04013,0.052000000000000005,53929.0
04015,0.08,37704.0
04017,0.09699999999999999,35457.0
04019,0.055999999999999994,45871.0
04021,0.063,49876.0
04023,0.115,37465.0
04025,0.055999999999999994,44145.0
04027,0.218,39700.0
05001,0.044000000000000004,36409.0
05003,0.08,36176.0
05005,0.057,37873.0
05007,0.039,57408.0
05009,0.051,39779.0
05011,0.062,32734.0
05013,0.057999999999999996,39493.0
05015,0.048,36964.0
05017,0.094,29541.0
05019,0.057,38504.0
05021,0.069,33826.0
05023,0.07200000000000001,40555.0
05025,0.057999999999999996,43201.0
05027,0.068,37495.0
05029,0.063,42348.0
05031,0.046,42851.0
05033,0.054000000000000006,43466.0
05035,0.064,35455.0
05037,0.055999999999999994,38597.0
05039,0.07400000000000001,34018.0
05041,0.076,33028.0
05043,0.071,36801.0
05045,0.048,51436.0
05047,0.052000000000000005,40404.0
05049,0.054000000000000006,33347.0
05051,0.057,40621.0
05053,0.047,46067.0
05055,0.053,42572.0
05057,0.052000000000000005,33136.0
05059,0.052000000000000005,37831.0
05061,0.044000000000000004,37336.0
05063,0.067,41085.0
05065,0.069,32744.0
05067,0.078,32427.0
05069,0.07200000000000001,35927.0
05071,0.06,34923.0
05073,0.079,32225.0
05075,0.063,34916.0
05077,0.069,28006.0
05079,0.063,37644.0
05081,0.057,37691.0
05083,0.059000000000000004,36391.0
05085,0.043,54459.0
05087,0.039,39158.0
05089,0.054000000000000006,33181.0
05091,0.052000000000000005,40877.0
05093,0.09300000000000001,33577.0
05095,0.063,30682.0
05097,0.07,34597.0
05099,0.052000000000000005,30935.0
05101,0.051,35895.0
05103,0.066,34971.0
05105,0.063,40556.0
05107,0.079,28171.0
05109,0.062,36893.0
05111,0.057,35851.0
05113,0.06,33127.0
05115,0.055,39909.0
05117,0.048,39896.0
05119,0.047,45698.0
05121,0.07400000000000001,37761.0
05123,0.075,30489.0
05125,0.042,55915.0
05127,0.05,33202.0
05129,0.057999999999999996,31765.0
05131,0.05,39907.0
05133,0.064,37014.0
05135,0.071,32101.0
05137,0.065,30010.0
05139,0.064,40841.0
05141,0.07,32975.0
05143,0.036000000000000004,45589.0
05145,0.065,42044.0
05147,0.067,29969.0
05149,0.053,37080.0
06001,0.047,76996.0
06003,0.079,53003.0
06005,0.066,54610.0
06007,0.07200000000000001,42302.0
06009,0.065,53321.0
06011,0.153,48006.0
06013,0.05,80338.0
06015,0.086,41419.0
06017,0.057,70235.0
06019,0.102,43338.0
06021,0.087,43755.0
06023,0.055999999999999994,40581.0
06025,0.24,38737.0
06027,0.057999999999999996,49267.0
06029,0.102,47451.0
06031,0.105,44490.0
06033,0.077,36333.0
06035,0.073,49995.0
06037,0.067,55686.0
06039,0.105,43171.0
06041,0.035,94549.0
06043,0.07200000000000001,47781.0
06045,0.059000000000000004,42840.0
06047,0.114,43818.0
06049,0.08800000000000001,39172.0
06051,0.061,59181.0
06053,0.081,57428.0
06055,0.046,71063.0
06057,0.055,57118.0
06059,0.045,76061.0
06061,0.05,75689.0
06063,0.10400000000000001,47964.0
06065,0.067,56877.0
06067,0.06,55803.0
06069,0.076,68166.0
06071,0.065,51951.0
06073,0.052000000000000005,66034.0
06075,0.036000000000000004,83788.0
06077,0.08900000000000001,51527.0
06079,0.046,61775.0
06081,0.034,100806.0
06083,0.053,62116.0
06085,0.042,97219.0
06087,0.075,64257.0
06089,0.078,43661.0
06091,0.09,47293.0
06093,0.094,38641.0
06095,0.061,67106.0
06097,0.045,66949.0
06099,0.095,50917.0
06101,0.10800000000000001,51827.0
06103,0.08,40782.0
06105,0.078,34961.0
06107,0.11699999999999999,42360.0
06109,0.071,49476.0
06111,0.057,74967.0
06113,0.064,54509.0
06115,0.092,41403.0
08001,0.043,59316.0
08003,0.052000000000000005,38140.0
08005,0.037000000000000005,65359.0
08007,0.04,44508.0
08009,0.021,36294.0
08011,0.039,35424.0
08013,0.032,71546.0
08014,0.033,85885.0
08015,0.034,48840.0
08017,0.027000000000000003,52273.0
08019,0.037000000000000005,69115.0
08021,0.055999999999999994,33998.0
08023,0.065,27882.0
08025,0.045,32570.0
08027,0.035,48368.0
08029,0.057,45283.0
08031,0.037000000000000005,54872.0
08033,0.031,44235.0
08035,0.031,107250.0
08037,0.031,76661.0
08039,0.031,83603.0
08041,0.046,59286.0
08043,0.062,41385.0
08045,0.040999999999999995,62529.0
08047,0.031,64752.0
08049,0.032,59379.0
08051,0.028999999999999998,48940.0
08053,0.03,51241.0
08055,0.077,32750.0
08057,0.037000000000000005,45073.0
08059,0.035,70687.0
08061,0.026000000000000002,42310.0
08063,0.024,46394.0
08065,0.038,46765.0
08067,0.035,60658.0
08069,0.033,57659.0
08071,0.055999999999999994,39625.0
08073,0.034,41248.0
08075,0.031,45439.0
08077,0.055,50106.0
08079,0.037000000000000005,51257.0
08081,0.045,56193.0
08083,0.055999999999999994,44163.0
08085,0.051,46336.0
08087,0.038,47631.0
08089,0.057999999999999996,33043.0
08091,0.043,57242.0
08093,0.034,58487.0
08095,0.024,47006.0
08097,0.038,73274.0
08099,0.040999999999999995,39184.0
08101,0.057,41382.0
08103,0.053,63184.0
08105,0.063,40593.0
08107,0.032,66846.0
08109,0.061,31227.0
08111,0.040999999999999995,40006.0
08113,0.037000000000000005,59603.0
08115,0.034,44562.0
08117,0.025,68352.0
08119,0.044000000000000004,62380.0
08121,0.025,45784.0
08123,0.038,61501.0
08125,0.027000000000000003,46838.0
09001,0.053,85336.0
09003,0.059000000000000004,65809.0
09005,0.05,73413.0
09007,0.048,76365.0
09009,0.061,60387.0
09011,0.057999999999999996,65813.0
09013,0.048,78653.0
09015,0.062,57547.0
10001,0.054000000000000006,54271.0
10003,0.047,64632.0
10005,0.05,53316.0
11001,0.069,69992.0
12001,0.045,44325.0
12003,0.054000000000000006,47121.0
12005,0.054000000000000006,44800.0
12007,0.048,39980.0
12009,0.059000000000000004,47973.0
12011,0.05,51485.0
12013,0.061,35256.0
12015,0.059000000000000004,43242.0
12017,0.07400000000000001,36383.0
12019,0.049,58539.0
12021,0.052000000000000005,58403.0
12023,0.054000000000000006,38484.0
12027,0.06,36945.0
12029,0.061,32121.0
12031,0.057,46013.0
12033,0.055999999999999994,46139.0
12035,0.062,51556.0
12037,0.046,36788.0
12039,0.07,35849.0
12041,0.055,40788.0
12043,0.071,38783.0
12045,0.051,38419.0
12047,0.051,31734.0
12049,0.067,35371.0
12051,0.10300000000000001,38494.0
12053,0.068,40094.0
12055,0.07400000000000001,35787.0
12057,0.05,50758.0
12059,0.062,35651.0
12061,0.068,47548.0
12063,0.057999999999999996,36876.0
12065,0.057999999999999996,40205.0
12067,0.045,38071.0
12069,0.054000000000000006,46895.0
12071,0.05,49147.0
12073,0.05,45463.0
12075,0.057,37433.0
12077,0.057,38473.0
12079,0.062,33017.0
12081,0.05,51673.0
12083,0.064,39860.0
12085,0.052000000000000005,55472.0
12086,0.061,42754.0
12087,0.035,57411.0
12089,0.05,56728.0
12091,0.045,55952.0
12093,0.062,37065.0
12095,0.049,47069.0
12097,0.057,42945.0
12099,0.05,52225.0
12101,0.057999999999999996,45219.0
12103,0.049,45162.0
12105,0.062,42768.0
12107,0.07200000000000001,32054.0
12109,0.039,66560.0
12111,0.062,42722.0
12113,0.048,58587.0
12115,0.05,52109.0
12117,0.048,56443.0
12119,0.075,51907.0
12121,0.055,38177.0
12123,0.066,36374.0
12125,0.048,40207.0
12127,0.057,40881.0
12129,0.046,51642.0
12131,0.046,46867.0
12133,0.059000000000000004,36482.0
13001,0.071,36642.0
13003,0.055999999999999994,31740.0
13005,0.055,34201.0
13007,0.073,43115.0
13009,0.078,37008.0
13011,0.054000000000000006,46018.0
13013,0.052000000000000005,49698.0
13015,0.057,51440.0
13017,0.09,31081.0
13019,0.07,35078.0
13021,0.066,36014.0
13023,0.091,40454.0
13025,0.073,36865.0
13027,0.059000000000000004,32903.0
13029,0.052000000000000005,66556.0
13031,0.06,36315.0
13033,0.08,35055.0
13035,0.064,41505.0
13037,0.061,30760.0
13039,0.055,51793.0
13043,0.055999999999999994,31829.0
13045,0.066,43442.0
13047,0.051,50728.0
13049,0.062,34312.0
13051,0.057,50154.0
13053,0.08800000000000001,45933.0
13055,0.062,34830.0
13057,0.046,71168.0
13059,0.059000000000000004,31487.0
13061,0.113,27512.0
13063,0.075,42985.0
13065,0.068,31577.0
13067,0.05,66970.0
13069,0.066,33125.0
13071,0.064,33509.0
13073,0.05,68067.0
13075,0.066,32408.0
13077,0.052000000000000005,60809.0
13079,0.061,43111.0
13081,0.069,31176.0
13083,0.054000000000000006,42953.0
13085,0.05,57491.0
13087,0.067,33968.0
13089,0.059000000000000004,50597.0
13091,0.083,32293.0
13093,0.075,31103.0
13095,0.077,32150.0
13097,0.062,54581.0
13099,0.068,34906.0
13101,0.047,34444.0
13103,0.05,61195.0
13105,0.07400000000000001,35351.0
13107,0.085,30119.0
13109,0.055,33293.0
13111,0.06,37813.0
13113,0.051,79069.0
13115,0.066,41814.0
13117,0.044000000000000004,86413.0
13119,0.063,38055.0
13121,0.057999999999999996,55516.0
13123,0.057999999999999996,40010.0
13125,0.066,39643.0
13127,0.06,46737.0
13129,0.057,43880.0
13131,0.06,35237.0
13133,0.07,42823.0
13135,0.051,59858.0
13137,0.055999999999999994,40994.0
13139,0.047,52238.0
13141,0.1,26309.0
13143,0.063,40387.0
13145,0.052000000000000005,66249.0
13147,0.061,38564.0
13149,0.062,41348.0
13151,0.06,60388.0
13153,0.057999999999999996,53027.0
13155,0.081,35955.0
13157,0.048,51931.0
13159,0.054000000000000006,41818.0
13161,0.064,35235.0
13163,0.08900000000000001,30835.0
13165,0.08199999999999999,30678.0
13167,0.07,29818.0
13169,0.053,51749.0
13171,0.076,40339.0
13173,0.066,37113.0
13175,0.075,35807.0
13177,0.053,64533.0
13179,0.063,41682.0
13181,0.066,39484.0
13183,0.059000000000000004,43193.0
13185,0.059000000000000004,38887.0
13187,0.053,44653.0
13189,0.08199999999999999,37413.0
13191,0.064,37603.0
13193,0.08900000000000001,29430.0
13195,0.054000000000000006,45557.0
13197,0.08199999999999999,36055.0
13199,0.078,37243.0
13201,0.053,35276.0
13205,0.066,32711.0
13207,0.055999999999999994,53542.0
13209,0.084,36436.0
13211,0.054000000000000006,50295.0
13213,0.07400000000000001,40976.0
13215,0.07400000000000001,41783.0
13217,0.066,48058.0
13219,0.043,80631.0
13221,0.053,46840.0
13223,0.051,63964.0
13225,0.079,40550.0
13227,0.052000000000000005,51047.0
13229,0.061,40526.0
13231,0.055999999999999994,50395.0
13233,0.065,38847.0
13235,0.065,36128.0
13237,0.08,42125.0
13239,0.067,29477.0
13241,0.066,38449.0
13243,0.09,25807.0
13245,0.073,36012.0
13247,0.064,48287.0
13249,0.066,39601.0
13251,0.081,34012.0
13253,0.08,37672.0
13255,0.078,35555.0
13257,0.065,36870.0
13259,0.067,27635.0
13261,0.08199999999999999,34017.0
13263,0.076,33370.0
13265,0.081,28716.0
13267,0.06,34010.0
13269,0.09300000000000001,32815.0
13271,0.085,29244.0
13273,0.07400000000000001,34604.0
13275,0.071,36973.0
13277,0.062,36303.0
13279,0.085,34008.0
13281,0.078,39453.0
13283,0.08199999999999999,32536.0
13285,0.06,41141.0
13287,0.065,32171.0
13289,0.091,36886.0
13291,0.052000000000000005,40667.0
13293,0.071,34867.0
13295,0.057999999999999996,39078.0
13297,0.053,52082.0
13299,0.064,34288.0
13301,0.077,31623.0
13303,0.069,36137.0
13305,0.073,41093.0
13307,0.08900000000000001,33893.0
13309,0.107,30264.0
13311,0.051,42126.0
13313,0.063,43731.0
13315,0.076,32722.0
13317,0.075,32042.0
13319,0.07400000000000001,34512.0
13321,0.064,40382.0
15001,0.045,51887.0
15003,0.034,73985.0
15007,0.040999999999999995,58883.0
15009,0.038,64916.0
16001,0.036000000000000004,57908.0
16003,0.076,40777.0
16005,0.04,44324.0
16007,0.044000000000000004,45504.0
16009,0.066,46277.0
16011,0.040999999999999995,47292.0
16013,0.035,63490.0
16015,0.062,50874.0
16017,0.059000000000000004,45193.0
16019,0.034,51440.0
16021,0.054000000000000006,42720.0
16023,0.043,42907.0
16025,0.036000000000000004,49569.0
16027,0.049,43489.0
16029,0.042,55770.0
16031,0.033,45078.0
16033,0.037000000000000005,45979.0
16035,0.08,41304.0
16037,0.066,42704.0
16039,0.047,45049.0
16041,0.031,50545.0
16043,0.036000000000000004,45578.0
16045,0.051,41688.0
16047,0.034,44669.0
16049,0.061,39551.0
16051,0.034,52428.0
16053,0.033,46513.0
16055,0.05,49061.0
16057,0.035,43482.0
16059,0.07,37869.0
16061,0.06,39918.0
16063,0.044000000000000004,44046.0
16065,0.027000000000000003,36065.0
16067,0.037000000000000005,46332.0
16069,0.037000000000000005,46214.0
16071,0.035,46503.0
16073,0.046,38478.0
16075,0.049,45533.0
16077,0.046,48048.0
16079,0.077,36577.0
16081,0.034,57644.0
16083,0.036000000000000004,44236.0
16085,0.061,49380.0
16087,0.057,35955.0
17001,0.05,46061.0
17003,0.086,30699.0
17005,0.053,49886.0
17007,0.066,58792.0
17009,0.037000000000000005,50225.0
17011,0.065,52138.0
17013,0.068,49689.0
17015,0.055,50750.0
17017,0.057,46289.0
17019,0.052000000000000005,47966.0
17021,0.066,46870.0
17023,0.063,50645.0
17025,0.071,45709.0
17027,0.045,60556.0
17029,0.062,41319.0
17031,0.061,55058.0
17033,0.06,45889.0
