STATEFIPS,COUNTY,people_per_sq_mile
1.0,1.0,91.8
1.0,3.0,114.6
1.0,5.0,31.0
1.0,7.0,36.8
1.0,9.0,88.9
1.0,11.0,17.5
1.0,13.0,27.0
1.0,15.0,195.7
1.0,17.0,57.4
1.0,19.0,46.9
1.0,21.0,63.0
1.0,23.0,15.2
1.0,25.0,20.9
1.0,27.0,23.1
1.0,29.0,26.7
1.0,31.0,73.6
1.0,33.0,91.8
1.0,35.0,15.6
1.0,37.0,17.7
1.0,39.0,36.6
1.0,41.0,22.8
1.0,43.0,109.4
1.0,45.0,89.6
1.0,47.0,44.8
1.0,49.0,91.5
1.0,51.0,128.2
1.0,53.0,40.5
1.0,55.0,195.2
1.0,57.0,27.5
1.0,59.0,50.0
1.0,61.0,46.6
1.0,63.0,14.0
1.0,65.0,24.5
1.0,67.0,30.8
1.0,69.0,175.1
1.0,71.0,49.4
1.0,73.0,592.5
1.0,75.0,24.1
1.0,77.0,138.8
1.0,79.0,49.7
1.0,81.0,230.8
1.0,83.0,147.8
1.0,85.0,15.8
1.0,87.0,35.2
1.0,89.0,417.7
1.0,91.0,21.5
1.0,93.0,41.5
1.0,95.0,164.4
1.0,97.0,335.9
1.0,99.0,22.5
1.0,101.0,292.5
1.0,103.0,206.3
1.0,105.0,14.7
1.0,107.0,22.4
1.0,109.0,48.9
1.0,111.0,39.5
1.0,113.0,82.6
1.0,115.0,132.3
1.0,117.0,248.5
1.0,119.0,15.2
1.0,121.0,111.7
1.0,123.0,58.1
1.0,125.0,147.3
1.0,127.0,84.7
1.0,129.0,16.3
1.0,131.0,13.1
1.0,133.0,39.9
2.0,13.0,0.4
2.0,16.0,1.3
2.0,20.0,171.2
2.0,50.0,0.4
2.0,60.0,2.0
2.0,68.0,0.1
2.0,70.0,0.3
2.0,90.0,13.3
2.0,100.0,1.1
2.0,105.0,0.3
2.0,110.0,11.6
2.0,122.0,3.4
2.0,130.0,2.8
2.0,150.0,2.1
2.0,164.0,0.1
2.0,170.0,3.6
2.0,180.0,0.4
2.0,185.0,0.1
2.0,188.0,0.2
2.0,195.0,1.2
2.0,198.0,1.4
2.0,220.0,3.1
2.0,230.0,2.1
2.0,240.0,0.3
2.0,261.0,0.3
2.0,270.0,0.4
2.0,275.0,0.9
2.0,282.0,0.1
2.0,290.0,0.0
4.0,1.0,6.4
4.0,3.0,21.3
4.0,5.0,7.2
4.0,7.0,11.3
4.0,9.0,8.1
4.0,11.0,4.6
4.0,12.0,4.6
4.0,13.0,414.9
4.0,15.0,15.0
4.0,17.0,10.8
4.0,19.0,106.7
4.0,21.0,70.0
4.0,23.0,38.3
4.0,25.0,26.0
4.0,27.0,35.5
5.0,1.0,19.2
5.0,3.0,23.6
5.0,5.0,74.9
5.0,7.0,261.2
5.0,9.0,62.5
5.0,11.0,17.7
5.0,13.0,8.5
5.0,15.0,43.6
5.0,17.0,18.3
5.0,19.0,26.6
5.0,21.0,25.2
5.0,23.0,46.9
5.0,25.0,14.5
5.0,27.0,32.1
5.0,29.0,38.5
5.0,31.0,136.4
5.0,33.0,104.4
5.0,35.0,83.5
5.0,37.0,29.0
5.0,39.0,12.2
5.0,41.0,16.9
5.0,43.0,22.3
5.0,45.0,174.8
5.0,47.0,29.8
5.0,49.0,19.8
5.0,51.0,141.7
5.0,53.0,28.3
5.0,55.0,72.9
5.0,57.0,31.1
5.0,59.0,53.5
5.0,61.0,23.4
5.0,63.0,48.0
5.0,65.0,23.6
5.0,67.0,28.4
5.0,69.0,88.9
5.0,71.0,38.7
5.0,73.0,14.5
5.0,75.0,29.6
5.0,77.0,17.3
5.0,79.0,25.2
5.0,81.0,24.7
5.0,83.0,31.6
5.0,85.0,88.7
5.0,87.0,18.8
5.0,89.0,27.9
5.0,91.0,69.5
5.0,93.0,51.6
5.0,95.0,13.4
5.0,97.0,12.2
5.0,99.0,14.6
5.0,101.0,10.1
5.0,103.0,35.6
5.0,105.0,18.9
5.0,107.0,31.3
5.0,109.0,18.8
5.0,111.0,32.4
5.0,113.0,24.1
5.0,115.0,76.0
5.0,117.0,13.4
5.0,119.0,503.8
5.0,121.0,27.6
5.0,123.0,44.5
5.0,125.0,148.0
5.0,127.0,12.6
5.0,129.0,12.3
5.0,131.0,236.4
5.0,133.0,30.2
5.0,135.0,28.6
5.0,137.0,20.4
5.0,139.0,40.1
5.0,141.0,24.4
5.0,143.0,215.6
5.0,145.0,74.5
5.0,147.0,12.4
5.0,149.0,23.9
6.0,1.0,2043.6
6.0,3.0,1.6
6.0,5.0,64.1
6.0,7.0,134.4
6.0,9.0,44.7
6.0,11.0,18.6
6.0,13.0,1465.2
6.0,15.0,28.4
6.0,17.0,106.0
6.0,19.0,156.2
6.0,21.0,21.4
6.0,23.0,37.7
6.0,25.0,41.8
6.0,27.0,1.8
6.0,29.0,103.3
6.0,31.0,110.1
6.0,33.0,51.5
6.0,35.0,7.7
6.0,37.0,2419.6
6.0,39.0,70.6
6.0,41.0,485.1
6.0,43.0,12.6
6.0,45.0,25.1
6.0,47.0,132.2
6.0,49.0,2.5
6.0,51.0,4.7
6.0,53.0,126.5
6.0,55.0,182.4
6.0,57.0,103.1
6.0,59.0,3807.7
6.0,61.0,247.6
6.0,63.0,7.8
6.0,65.0,303.8
6.0,67.0,1470.8
6.0,69.0,39.8
6.0,71.0,101.5
6.0,73.0,735.8
6.0,75.0,17179.2
6.0,77.0,492.6
6.0,79.0,81.7
6.0,81.0,1602.2
6.0,83.0,155.0
6.0,85.0,1381.0
6.0,87.0,589.4
6.0,89.0,46.9
6.0,91.0,3.4
6.0,93.0,7.2
6.0,95.0,503.0
6.0,97.0,307.1
6.0,99.0,344.2
6.0,101.0,157.3
6.0,103.0,21.5
6.0,105.0,4.3
6.0,107.0,91.7
6.0,109.0,24.9
6.0,111.0,446.7
6.0,113.0,197.9
6.0,115.0,114.2
8.0,1.0,378.2
8.0,3.0,21.4
8.0,5.0,716.7
8.0,7.0,8.9
8.0,9.0,1.5
8.0,11.0,4.3
8.0,13.0,405.6
8.0,14.0,1691.9
8.0,15.0,17.6
8.0,17.0,1.0
8.0,19.0,23.0
8.0,21.0,6.4
8.0,23.0,2.9
8.0,25.0,7.4
8.0,27.0,5.8
8.0,29.0,27.1
8.0,31.0,3922.6
8.0,33.0,1.9
8.0,35.0,339.7
8.0,37.0,31.0
8.0,39.0,12.5
8.0,41.0,292.6
8.0,43.0,30.5
8.0,45.0,19.1
8.0,47.0,36.3
8.0,49.0,8.0
8.0,51.0,4.7
8.0,53.0,0.8
8.0,55.0,4.2
8.0,57.0,0.9
8.0,59.0,699.5
8.0,61.0,0.8
8.0,63.0,3.8
8.0,65.0,19.4
8.0,67.0,30.3
8.0,69.0,115.4
8.0,71.0,3.2
8.0,73.0,2.1
8.0,75.0,12.4
8.0,77.0,44.1
8.0,79.0,0.8
8.0,81.0,2.9
8.0,83.0,12.6
8.0,85.0,18.4
8.0,87.0,22.0
8.0,89.0,14.9
8.0,91.0,8.2
8.0,93.0,7.4
8.0,95.0,6.5
8.0,97.0,17.7
8.0,99.0,7.7
8.0,101.0,66.7
8.0,103.0,2.1
8.0,105.0,13.1
8.0,107.0,10.0
8.0,109.0,1.9
8.0,111.0,1.8
8.0,113.0,5.7
8.0,115.0,4.3
8.0,117.0,46.0
8.0,119.0,41.9
8.0,121.0,1.9
8.0,123.0,63.4
8.0,125.0,4.2
9.0,1.0,1467.2
9.0,3.0,1216.2
9.0,5.0,206.3
9.0,7.0,448.6
9.0,9.0,1426.7
9.0,11.0,412.2
9.0,13.0,372.2
9.0,15.0,230.9
10.0,1.0,276.9
10.0,3.0,1263.2
10.0,5.0,210.6
11.0,1.0,9856.5
12.0,1.0,282.7
12.0,3.0,46.3
12.0,5.0,222.6
12.0,7.0,97.0
12.0,9.0,535.0
12.0,11.0,1444.9
