,,Total Vote,C,T,M,Margin,Margin (%),,Clinton,Trump,McMullin,Other,Clinton,Trump,McMullin,Johnson,Stein,Castle,Fuente,Soltysik,LaRiva,Write-ins,Kennedy,Hoefling,Duncan,Moorehead,None,Vacek,Hedges,Kotlikoff,White,Keniston,Kopitke,Atwood,Jacob-Fambro,Lyttle,Kahn,Maldonado,Maturen,Scott,Silva,Smith,Copeland,Skewes,Giordani,0,,J,S,F,C,Johnson,Stein,Fuente,Castle,,,,CD,,ST,CTY,FIPS,,LSAD_TRANS,Blank/Under,Void/Over,,,,Total WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autauga,AL,"24,871",2,1,0,"12,202",49.06%,,23.75%,72.82%,0.00%,3.43%,"5,908","18,110",0,538,105,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,2.16%,0.42%,0.00%,0.00%,,Autauga,AL,2,,01,001,01001,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,AL,"95,044",2,1,0,"54,371",57.21%,,19.37%,76.58%,0.00%,4.06%,"18,409","72,780",0,"2,448",453,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,2.58%,0.48%,0.00%,0.00%,,Baldwin,AL,1,,01,003,01003,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,AL,"10,423",2,1,0,583,5.59%,,46.51%,52.11%,0.00%,1.38%,"4,848","5,431",0,93,18,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,0.89%,0.17%,0.00%,0.00%,,Barbour,AL,2,,01,005,01005,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibb,AL,"8,814",2,1,0,"4,859",55.13%,,21.26%,76.39%,0.00%,2.35%,"1,874","6,733",0,124,17,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,1.41%,0.19%,0.00%,0.00%,,Bibb,AL,6,,01,007,01007,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blount,AL,"25,530",2,1,0,"20,658",80.92%,,8.42%,89.34%,0.00%,2.24%,"2,150","22,808",0,337,89,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,1.32%,0.35%,0.00%,0.00%,,Blount,AL,,,01,009,01009,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock,AL,"4,709",1,2,0,"2,391",50.78%,,74.96%,24.19%,0.00%,0.85%,"3,530","1,139",0,22,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,4,0,0,0.47%,0.21%,0.00%,0.00%,,Bullock,AL,2,,01,011,01011,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,AL,"8,712",2,1,0,"1,175",13.49%,,42.65%,56.14%,0.00%,1.21%,"3,716","4,891",0,65,13,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,0.75%,0.15%,0.00%,0.00%,,Butler,AL,2,,01,013,01013,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,AL,"47,754",2,1,0,"19,606",41.06%,,27.64%,68.69%,0.00%,3.67%,"13,197","32,803",0,"1,114",262,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,2.33%,0.55%,0.00%,0.00%,,Calhoun,AL,3,,01,015,01015,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers,AL,"13,839",2,1,0,"2,040",14.74%,,41.64%,56.38%,0.00%,1.97%,"5,763","7,803",0,168,44,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,1.21%,0.32%,0.00%,0.00%,,Chambers,AL,3,,01,017,01017,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,AL,"10,715",2,1,0,"7,392",68.99%,,14.42%,83.41%,0.00%,2.17%,"1,545","8,937",0,147,26,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,1.37%,0.24%,0.00%,0.00%,,Cherokee,AL,,,01,019,01019,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilton,AL,"18,351",2,1,0,"12,159",66.26%,,15.85%,82.11%,0.00%,2.04%,"2,909","15,068",0,226,52,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,0,0,1.23%,0.28%,0.00%,0.00%,,Chilton,AL,6,,01,021,01021,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
